CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book
768805383,Existing Customer,45,M,3,High School,Married,$60K - $80K,Blue,39
818770008,Existing Customer,49,F,5,Graduate,Single,Less than $40K,Blue,44
713982108,Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,36
769911858,Existing Customer,40,F,4,High School,Unknown,Less than $40K,Blue,34
709106358,Existing Customer,40,M,3,Uneducated,Married,$60K - $80K,Blue,21
713061558,Existing Customer,44,M,2,Graduate,Married,$40K - $60K,Blue,36
810347208,Existing Customer,51,M,4,Unknown,Married,$120K +,Gold,46
818906208,Existing Customer,32,M,0,High School,Unknown,$60K - $80K,Silver,27
710930508,Existing Customer,37,M,3,Uneducated,Single,$60K - $80K,Blue,36
719661558,Existing Customer,48,M,2,Graduate,Single,$80K - $120K,Blue,36
708790833,Existing Customer,42,M,5,Uneducated,Unknown,$120K +,Blue,31
710821833,Existing Customer,65,M,1,Unknown,Married,$40K - $60K,Blue,54
710599683,Existing Customer,56,M,1,College,Single,$80K - $120K,Blue,36
816082233,Existing Customer,35,M,3,Graduate,Unknown,$60K - $80K,Blue,30
712396908,Existing Customer,57,F,2,Graduate,Married,Less than $40K,Blue,48
714885258,Existing Customer,44,M,4,Unknown,Unknown,$80K - $120K,Blue,37
709967358,Existing Customer,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,36
753327333,Existing Customer,41,M,3,Unknown,Married,$80K - $120K,Blue,34
806160108,Existing Customer,61,M,1,High School,Married,$40K - $60K,Blue,56
709327383,Existing Customer,45,F,2,Graduate,Married,Unknown,Blue,37
806165208,Existing Customer,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42
708508758,Attrited Customer,62,F,0,Graduate,Married,Less than $40K,Blue,49
784725333,Existing Customer,41,M,3,High School,Married,$40K - $60K,Blue,33
811604133,Existing Customer,47,F,4,Unknown,Single,Less than $40K,Blue,36
789124683,Existing Customer,54,M,2,Unknown,Married,$80K - $120K,Blue,42
771071958,Existing Customer,41,F,3,Graduate,Single,Less than $40K,Blue,28
720466383,Existing Customer,59,M,1,High School,Unknown,$40K - $60K,Blue,46
804424383,Existing Customer,63,M,1,Unknown,Married,$60K - $80K,Blue,56
718813833,Existing Customer,44,F,3,Uneducated,Single,Unknown,Blue,34
806624208,Existing Customer,47,M,4,High School,Married,$40K - $60K,Blue,42
778348233,Existing Customer,53,M,3,Unknown,Married,$80K - $120K,Blue,33
712991808,Existing Customer,53,M,2,Uneducated,Married,$60K - $80K,Blue,48
709029408,Existing Customer,41,M,4,Graduate,Married,$60K - $80K,Blue,36
788658483,Existing Customer,53,F,2,College,Married,Less than $40K,Blue,38
787937058,Existing Customer,58,M,0,Graduate,Married,$80K - $120K,Blue,49
715318008,Existing Customer,55,F,1,College,Single,Less than $40K,Blue,36
713962233,Existing Customer,55,F,3,Graduate,Married,Less than $40K,Blue,36
785432733,Existing Customer,42,F,4,High School,Married,Less than $40K,Gold,36
715190283,Existing Customer,57,F,1,Graduate,Unknown,$40K - $60K,Blue,49
708300483,Attrited Customer,66,F,0,Doctorate,Married,Unknown,Blue,56
827111283,Existing Customer,45,M,3,Graduate,Single,$80K - $120K,Blue,41
758551608,Existing Customer,51,M,2,Unknown,Married,$40K - $60K,Blue,44
773146383,Existing Customer,50,F,1,College,Single,$40K - $60K,Silver,43
778493808,Existing Customer,49,M,3,High School,Married,$60K - $80K,Blue,37
720572508,Existing Customer,38,F,4,Graduate,Single,Unknown,Blue,28
712661433,Existing Customer,49,M,4,Uneducated,Single,$80K - $120K,Blue,30
789172683,Existing Customer,56,M,2,Doctorate,Married,$60K - $80K,Blue,45
738406533,Existing Customer,59,M,1,Doctorate,Married,$40K - $60K,Blue,52
799723908,Existing Customer,46,M,3,High School,Married,$80K - $120K,Blue,40
771490833,Existing Customer,52,M,1,College,Single,$80K - $120K,Blue,40
720756708,Existing Customer,52,F,3,Unknown,Married,Less than $40K,Blue,41
779471883,Attrited Customer,54,F,1,Graduate,Married,Less than $40K,Blue,40
711525033,Existing Customer,66,F,0,High School,Married,Less than $40K,Blue,54
712813458,Existing Customer,49,M,2,Unknown,Married,$120K +,Blue,36
714374133,Attrited Customer,56,M,2,Graduate,Married,$120K +,Blue,36
717891558,Existing Customer,49,F,4,Graduate,Unknown,Less than $40K,Blue,36
716632758,Existing Customer,49,F,3,Graduate,Single,Less than $40K,Blue,36
768563658,Existing Customer,56,M,2,Uneducated,Married,$40K - $60K,Blue,50
711427458,Existing Customer,44,F,5,Graduate,Married,Unknown,Blue,35
714091983,Existing Customer,42,M,2,High School,Single,$60K - $80K,Blue,34
787584108,Existing Customer,55,M,3,Unknown,Married,$80K - $120K,Blue,47
712030833,Attrited Customer,48,M,2,Graduate,Married,$60K - $80K,Silver,35
711481533,Existing Customer,39,M,1,High School,Divorced,$60K - $80K,Blue,33
710082708,Existing Customer,44,M,4,Post-Graduate,Single,$120K +,Blue,32
708155733,Existing Customer,53,M,2,High School,Single,$120K +,Blue,44
788979258,Existing Customer,51,M,4,Uneducated,Single,$80K - $120K,Silver,38
807986133,Existing Customer,57,M,2,College,Married,$60K - $80K,Blue,52
788730933,Existing Customer,44,F,2,Uneducated,Single,Less than $40K,Blue,20
711314058,Existing Customer,49,M,2,Graduate,Married,$60K - $80K,Blue,32
717975333,Existing Customer,50,M,2,Doctorate,Married,$80K - $120K,Blue,38
715971108,Existing Customer,51,M,4,Graduate,Single,$120K +,Blue,42
720096558,Existing Customer,55,F,2,Graduate,Married,Less than $40K,Blue,42
719580033,Existing Customer,54,M,1,Graduate,Unknown,$60K - $80K,Blue,43
820582308,Existing Customer,42,M,5,Uneducated,Married,$80K - $120K,Blue,37
789973308,Existing Customer,44,M,1,College,Single,$60K - $80K,Blue,35
712876233,Existing Customer,53,M,2,Graduate,Single,$80K - $120K,Blue,36
804595158,Existing Customer,44,F,4,Graduate,Single,Less than $40K,Blue,36
714826758,Existing Customer,37,F,3,Uneducated,Single,Less than $40K,Blue,29
779058108,Existing Customer,49,M,3,Graduate,Divorced,$60K - $80K,Blue,30
710790258,Existing Customer,47,M,2,Graduate,Married,$80K - $120K,Blue,38
715623483,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,37
715156383,Existing Customer,44,M,1,Unknown,Unknown,$120K +,Blue,36
711013983,Attrited Customer,55,F,4,Unknown,Married,$40K - $60K,Blue,45
755420433,Existing Customer,59,F,1,Graduate,Married,Unknown,Blue,52
794543958,Existing Customer,53,M,1,Graduate,Divorced,$80K - $120K,Blue,35
716396358,Existing Customer,52,M,2,Graduate,Married,$60K - $80K,Blue,47
715398033,Existing Customer,53,M,2,High School,Single,$120K +,Blue,35
711743883,Existing Customer,43,F,3,Uneducated,Single,Less than $40K,Blue,35
719720058,Existing Customer,44,M,3,High School,Single,$60K - $80K,Blue,31
778992108,Existing Customer,57,M,2,Unknown,Married,$120K +,Blue,45
717539808,Existing Customer,51,F,2,High School,Single,Less than $40K,Blue,36
714070758,Existing Customer,49,M,4,High School,Single,$80K - $120K,Blue,38
714107958,Existing Customer,45,M,1,Graduate,Single,$40K - $60K,Blue,36
789140283,Existing Customer,53,M,0,Graduate,Single,$80K - $120K,Blue,42
715550508,Existing Customer,45,F,3,Unknown,Married,Unknown,Blue,28
719712633,Existing Customer,64,M,1,Graduate,Married,Less than $40K,Blue,52
772629333,Existing Customer,45,M,3,Graduate,Married,$40K - $60K,Blue,35
720336708,Existing Customer,53,M,3,Doctorate,Married,$40K - $60K,Blue,35
802013583,Existing Customer,56,M,3,College,Married,$120K +,Blue,50
711887583,Attrited Customer,47,M,2,Unknown,Married,$80K - $120K,Blue,37
714778833,Existing Customer,49,F,3,College,Single,Unknown,Blue,43
713843283,Existing Customer,41,F,3,Unknown,Married,Unknown,Silver,34
779155158,Existing Customer,53,M,3,Graduate,Married,$120K +,Blue,34
721091583,Existing Customer,44,F,2,Graduate,Single,Less than $40K,Blue,32
713572683,Existing Customer,44,M,3,High School,Unknown,$60K - $80K,Blue,25
716657058,Existing Customer,43,F,4,Post-Graduate,Married,Less than $40K,Blue,33
779509983,Existing Customer,53,M,2,Post-Graduate,Single,$120K +,Blue,36
717929133,Existing Customer,44,M,1,Uneducated,Married,$60K - $80K,Blue,36
808284783,Existing Customer,62,F,1,Unknown,Married,Less than $40K,Blue,56
708476808,Existing Customer,54,M,4,Unknown,Divorced,$120K +,Blue,36
710916408,Existing Customer,57,M,4,Graduate,Married,$60K - $80K,Blue,39
708492558,Existing Customer,42,M,3,Unknown,Married,$60K - $80K,Blue,36
799825758,Existing Customer,42,M,4,High School,Divorced,$60K - $80K,Blue,36
718619883,Existing Customer,54,F,0,Uneducated,Married,Less than $40K,Blue,36
711844758,Existing Customer,48,M,3,Graduate,Single,$80K - $120K,Blue,35
714798783,Existing Customer,49,M,1,Graduate,Single,$80K - $120K,Blue,36
826762908,Existing Customer,52,M,3,High School,Unknown,$80K - $120K,Blue,48
771894558,Existing Customer,50,M,3,High School,Single,$80K - $120K,Blue,39
721074183,Existing Customer,49,M,1,Doctorate,Married,$60K - $80K,Blue,36
715259583,Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,44
718414008,Existing Customer,50,M,2,Graduate,Single,$120K +,Blue,36
719666283,Existing Customer,55,F,1,Doctorate,Married,Less than $40K,Blue,36
714877233,Existing Customer,53,M,1,High School,Married,$80K - $120K,Blue,47
785387883,Existing Customer,47,F,3,High School,Single,$40K - $60K,Blue,41
771075258,Existing Customer,55,M,2,College,Single,$120K +,Silver,42
711318033,Existing Customer,47,M,3,Graduate,Single,$60K - $80K,Blue,36
783554958,Existing Customer,58,M,4,Graduate,Single,$120K +,Blue,52
720201033,Attrited Customer,53,M,2,Graduate,Married,$80K - $120K,Blue,41
718039683,Existing Customer,52,M,2,High School,Single,$40K - $60K,Blue,45
710806083,Existing Customer,50,F,1,Uneducated,Unknown,Less than $40K,Silver,36
714752208,Existing Customer,42,F,1,Graduate,Married,Less than $40K,Blue,36
822063408,Existing Customer,43,M,4,Unknown,Married,$40K - $60K,Blue,39
714490308,Existing Customer,57,M,4,Graduate,Married,$80K - $120K,Blue,46
713356833,Existing Customer,52,M,1,Graduate,Married,$80K - $120K,Blue,43
711402333,Existing Customer,47,M,2,Doctorate,Single,Less than $40K,Blue,37
708296883,Existing Customer,44,F,3,Graduate,Single,$40K - $60K,Blue,38
719154483,Existing Customer,53,M,2,High School,Divorced,$60K - $80K,Blue,36
717721458,Existing Customer,45,M,4,College,Divorced,$60K - $80K,Blue,40
711112683,Existing Customer,63,F,1,College,Married,Unknown,Blue,36
715674483,Existing Customer,39,F,2,Post-Graduate,Single,Less than $40K,Blue,27
789322833,Attrited Customer,48,F,5,High School,Married,Less than $40K,Blue,38
789968058,Existing Customer,51,M,1,Unknown,Single,$120K +,Blue,42
709919283,Existing Customer,54,M,4,Graduate,Married,$80K - $120K,Blue,34
718744008,Existing Customer,59,F,1,Graduate,Single,Less than $40K,Blue,36
767712558,Attrited Customer,59,M,1,College,Single,$60K - $80K,Blue,53
712950783,Attrited Customer,48,F,4,Uneducated,Married,Less than $40K,Blue,38
716104983,Existing Customer,41,F,2,Graduate,Single,Less than $40K,Blue,32
818839983,Existing Customer,55,M,2,Graduate,Married,$120K +,Blue,50
772288758,Existing Customer,47,F,4,Graduate,Married,Unknown,Blue,36
712350858,Existing Customer,41,M,2,High School,Married,$80K - $120K,Blue,24
711009708,Existing Customer,40,M,3,High School,Single,$80K - $120K,Blue,28
712720158,Existing Customer,68,M,1,Graduate,Married,Unknown,Blue,56
712215258,Existing Customer,50,F,1,Graduate,Single,$40K - $60K,Silver,31
773827008,Existing Customer,47,M,4,Uneducated,Single,$60K - $80K,Blue,41
795232683,Existing Customer,53,F,1,College,Married,Less than $40K,Blue,47
713786508,Existing Customer,42,F,5,Unknown,Married,$40K - $60K,Blue,36
713539833,Existing Customer,48,F,4,High School,Single,$40K - $60K,Blue,38
712454058,Existing Customer,49,M,1,Doctorate,Married,$120K +,Blue,38
718759833,Existing Customer,44,F,2,Uneducated,Married,Unknown,Silver,35
718803333,Existing Customer,43,F,4,Graduate,Divorced,Less than $40K,Blue,34
720253908,Existing Customer,56,M,0,High School,Married,$80K - $120K,Blue,43
714133158,Existing Customer,59,F,1,College,Single,Unknown,Blue,36
713187033,Existing Customer,46,M,1,Uneducated,Married,$60K - $80K,Blue,36
714791208,Existing Customer,47,F,4,Unknown,Divorced,Less than $40K,Blue,41
772426383,Existing Customer,50,F,4,Uneducated,Married,$40K - $60K,Blue,40
710975883,Existing Customer,51,F,3,Uneducated,Married,Less than $40K,Blue,43
714264408,Existing Customer,47,F,3,Uneducated,Married,Less than $40K,Blue,36
715827858,Existing Customer,58,F,4,Uneducated,Married,Less than $40K,Blue,47
713741358,Attrited Customer,46,M,5,Graduate,Single,$80K - $120K,Blue,33
709531908,Existing Customer,53,M,3,High School,Married,$60K - $80K,Blue,47
716493408,Existing Customer,45,F,4,Uneducated,Divorced,Unknown,Blue,36
714141108,Existing Customer,52,F,1,High School,Married,Less than $40K,Blue,45
708953883,Attrited Customer,53,M,2,Unknown,Married,$80K - $120K,Blue,36
712608783,Existing Customer,50,M,2,High School,Married,$80K - $120K,Silver,45
820353558,Existing Customer,41,F,3,High School,Married,$40K - $60K,Blue,36
714964758,Existing Customer,45,F,5,Graduate,Divorced,$40K - $60K,Blue,36
716264358,Existing Customer,53,M,3,Uneducated,Married,$80K - $120K,Blue,42
717296808,Existing Customer,67,F,1,Graduate,Married,Less than $40K,Blue,56
712977183,Existing Customer,57,F,2,Uneducated,Single,$40K - $60K,Silver,36
710829108,Existing Customer,59,F,1,Uneducated,Married,$40K - $60K,Blue,36
779562633,Existing Customer,45,M,2,Uneducated,Married,$40K - $60K,Blue,34
715315833,Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,36
815500983,Existing Customer,59,F,1,Uneducated,Married,Less than $40K,Blue,54
719360583,Existing Customer,53,M,1,Graduate,Married,$60K - $80K,Blue,45
709701558,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,36
721148358,Existing Customer,49,F,3,Uneducated,Single,Unknown,Blue,38
779862408,Existing Customer,49,M,3,Post-Graduate,Single,$80K - $120K,Blue,33
812627208,Existing Customer,60,F,0,College,Single,Less than $40K,Blue,55
711033408,Existing Customer,50,F,2,High School,Married,Less than $40K,Blue,36
779956608,Existing Customer,41,F,2,Post-Graduate,Married,Unknown,Blue,31
780376683,Existing Customer,57,M,1,Graduate,Married,$80K - $120K,Blue,47
717912483,Existing Customer,43,M,4,Graduate,Unknown,$80K - $120K,Blue,27
714454758,Existing Customer,57,F,3,Graduate,Married,Less than $40K,Blue,47
780466533,Existing Customer,54,M,3,Doctorate,Married,$120K +,Blue,41
715735233,Existing Customer,51,F,5,Post-Graduate,Married,Less than $40K,Blue,44
720476733,Existing Customer,47,F,3,High School,Married,Less than $40K,Blue,34
715872333,Existing Customer,41,M,0,High School,Unknown,$120K +,Blue,36
712375758,Existing Customer,53,M,3,Uneducated,Married,$80K - $120K,Blue,43
708868233,Attrited Customer,68,M,0,High School,Married,Less than $40K,Blue,52
718030083,Existing Customer,59,M,1,College,Married,$60K - $80K,Blue,36
720707283,Existing Customer,48,M,4,Unknown,Married,$80K - $120K,Blue,36
771698658,Existing Customer,44,M,5,Graduate,Married,$60K - $80K,Blue,32
748326258,Existing Customer,48,M,3,College,Married,$80K - $120K,Blue,41
770817783,Existing Customer,47,M,4,Graduate,Married,$60K - $80K,Silver,33
779353083,Existing Customer,47,M,2,Graduate,Married,$60K - $80K,Silver,32
711441333,Existing Customer,43,F,1,High School,Divorced,Less than $40K,Silver,35
719808558,Attrited Customer,55,F,2,Graduate,Married,Less than $40K,Blue,43
711551958,Attrited Customer,59,M,2,Post-Graduate,Married,$60K - $80K,Blue,46
809164083,Existing Customer,63,M,1,Graduate,Married,$40K - $60K,Blue,56
820596183,Existing Customer,58,M,2,College,Married,$120K +,Blue,53
715999608,Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,36
710565408,Existing Customer,59,M,0,Unknown,Unknown,$80K - $120K,Silver,40
805543158,Existing Customer,52,M,3,Graduate,Married,$120K +,Blue,47
709752183,Existing Customer,48,M,3,High School,Single,$60K - $80K,Blue,36
716479233,Existing Customer,43,M,4,High School,Married,$40K - $60K,Blue,36
713837058,Existing Customer,48,M,2,College,Single,Less than $40K,Blue,36
718876683,Existing Customer,43,F,4,Graduate,Single,Less than $40K,Blue,31
770746908,Existing Customer,44,M,4,Unknown,Married,$60K - $80K,Blue,30
794843883,Existing Customer,41,M,3,High School,Married,$80K - $120K,Blue,35
803043933,Existing Customer,44,F,3,Uneducated,Divorced,Less than $40K,Silver,38
758076408,Existing Customer,50,M,2,Unknown,Single,$40K - $60K,Blue,43
714606558,Existing Customer,60,F,1,Uneducated,Married,Less than $40K,Blue,36
778425408,Existing Customer,44,M,4,Graduate,Single,$80K - $120K,Blue,24
714171108,Existing Customer,48,F,3,Graduate,Divorced,$40K - $60K,Blue,39
719662458,Existing Customer,44,F,2,Graduate,Divorced,Less than $40K,Blue,27
713137233,Existing Customer,41,M,2,High School,Single,$80K - $120K,Blue,28
769425858,Existing Customer,45,M,3,College,Single,$60K - $80K,Blue,32
711297483,Existing Customer,47,F,2,Uneducated,Divorced,Less than $40K,Silver,34
788900883,Existing Customer,51,F,2,Graduate,Married,Less than $40K,Blue,36
758348808,Existing Customer,51,M,2,Graduate,Married,$120K +,Blue,44
772336458,Attrited Customer,60,F,1,Uneducated,Married,$40K - $60K,Blue,50
708711483,Existing Customer,57,M,2,Unknown,Married,$80K - $120K,Blue,46
717906783,Existing Customer,41,M,5,Graduate,Single,$120K +,Blue,29
719437908,Existing Customer,44,M,3,Post-Graduate,Divorced,$80K - $120K,Blue,36
769433508,Existing Customer,43,M,1,College,Single,$60K - $80K,Blue,37
790096533,Existing Customer,55,M,2,College,Married,$60K - $80K,Blue,48
720997383,Attrited Customer,52,M,1,Uneducated,Married,$80K - $120K,Blue,36
787541883,Existing Customer,44,M,3,Graduate,Unknown,$80K - $120K,Blue,33
709930758,Existing Customer,41,M,2,Uneducated,Married,$40K - $60K,Blue,30
789830058,Existing Customer,44,M,4,Unknown,Single,$80K - $120K,Blue,34
710299608,Attrited Customer,53,F,2,Unknown,Married,Less than $40K,Blue,33
710741208,Existing Customer,39,M,2,High School,Single,$80K - $120K,Blue,36
821797008,Attrited Customer,49,M,5,College,Married,$40K - $60K,Blue,45
708874533,Attrited Customer,45,F,2,College,Married,Less than $40K,Blue,36
715341858,Existing Customer,54,M,2,Graduate,Married,$80K - $120K,Blue,46
793636308,Existing Customer,49,M,3,Uneducated,Single,$80K - $120K,Blue,43
713779908,Existing Customer,46,F,3,Doctorate,Single,Unknown,Blue,36
712125258,Attrited Customer,46,M,4,High School,Married,$120K +,Blue,30
709703433,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,38
721022433,Existing Customer,44,M,2,Doctorate,Single,$60K - $80K,Blue,36
710103558,Existing Customer,50,M,3,Post-Graduate,Single,$120K +,Blue,31
715952883,Existing Customer,73,M,0,High School,Married,$40K - $60K,Blue,36
719731458,Existing Customer,56,M,3,Unknown,Unknown,$40K - $60K,Blue,46
772390908,Attrited Customer,59,M,0,High School,Single,$40K - $60K,Blue,48
787348608,Existing Customer,70,M,0,High School,Married,Less than $40K,Blue,56
709485033,Existing Customer,55,F,2,High School,Married,Less than $40K,Blue,36
715432608,Existing Customer,43,M,4,Unknown,Single,$60K - $80K,Blue,36
799471833,Existing Customer,45,M,1,Uneducated,Single,$120K +,Blue,39
714187533,Existing Customer,45,F,2,Uneducated,Single,$40K - $60K,Blue,35
779656908,Existing Customer,40,M,1,Graduate,Married,$40K - $60K,Blue,23
788950158,Existing Customer,36,M,2,College,Unknown,$80K - $120K,Blue,22
778867533,Attrited Customer,59,F,0,Post-Graduate,Married,$40K - $60K,Blue,40
710620383,Existing Customer,43,M,4,Unknown,Married,$60K - $80K,Blue,35
778661358,Existing Customer,46,F,1,Unknown,Married,Less than $40K,Blue,36
789483333,Existing Customer,41,M,2,Uneducated,Married,$40K - $60K,Blue,32
809855808,Existing Customer,51,F,2,Graduate,Married,Less than $40K,Blue,46
718464258,Existing Customer,51,F,3,Unknown,Unknown,Less than $40K,Blue,25
708528483,Existing Customer,43,F,4,Graduate,Divorced,Unknown,Blue,23
771809733,Attrited Customer,64,F,0,High School,Married,$40K - $60K,Blue,53
719942883,Existing Customer,54,M,5,Graduate,Married,$60K - $80K,Blue,38
807226683,Existing Customer,48,M,3,Unknown,Single,$40K - $60K,Blue,43
717806133,Existing Customer,40,M,2,Uneducated,Divorced,$60K - $80K,Blue,29
720615708,Existing Customer,57,M,0,Uneducated,Married,$40K - $60K,Blue,45
714511758,Existing Customer,45,M,4,Graduate,Single,$80K - $120K,Blue,40
715050408,Existing Customer,41,M,3,High School,Single,$80K - $120K,Blue,36
721132233,Existing Customer,42,F,4,Uneducated,Married,Less than $40K,Blue,31
719211558,Attrited Customer,45,M,2,Graduate,Single,$60K - $80K,Blue,36
